,result
0,0
1,1
2,0
3,2
4,2
5,1
6,1
7,0
8,1
9,1
10,1
11,1
12,0
13,2
14,1
15,1
16,0
17,1
18,1
19,1
20,1
21,1
22,1
23,1
24,2
25,2
26,1
27,2
28,0
29,0
30,0
31,1
32,2
33,2
34,2
35,2
36,1
37,1
38,2
39,1
40,1
41,1
42,2
43,0
44,1
45,2
46,1
47,0
48,2
49,2
50,1
51,0
52,1
53,0
54,0
55,0
56,0
57,2
58,1
59,2
60,2
61,0
62,1
63,1
64,2
65,1
66,1
67,1
68,0
69,1
70,0
71,1
72,0
73,1
74,1
75,0
76,2
77,0
78,1
79,0
80,1
81,2
82,1
83,1
84,1
85,0
86,2
87,2
88,1
89,0
90,1
91,2
92,0
93,0
94,1
95,2
96,2
97,1
98,0
99,2
100,1
101,1
102,1
103,2
104,1
105,1
106,2
107,0
108,0
109,1
110,1
111,2
112,0
113,1
114,2
115,2
116,2
117,2
118,0
119,1
120,1
121,0
122,0
123,1
124,1
125,1
126,2
127,2
128,0
129,1
130,1
131,1
132,0
133,0
134,1
135,0
136,1
137,2
138,1
139,1
140,1
141,2
142,0
143,1
144,1
145,0
146,1
147,0
148,1
149,0
150,2
151,2
152,0
153,0
154,2
155,2
156,2
157,1
158,1
159,0
160,2
161,2
162,1
163,1
164,2
165,1
166,0
167,2
168,1
169,2
170,2
171,1
172,2
173,1
174,2
175,0
176,1
177,1
178,2
179,2
180,1
181,2
182,1
183,0
184,1
185,2
186,1
187,2
188,1
189,2
190,1
191,1
192,0
193,1
194,1
195,0
196,1
197,1
198,1
199,1
200,1
201,1
202,0
203,1
204,2
205,0
206,0
207,1
208,0
209,2
210,2
211,1
212,2
213,2
214,0
215,1
216,0
217,1
218,0
219,1
220,2
221,1
222,2
223,0
224,1
225,2
226,2
227,1
228,1
229,1
230,1
231,1
232,1
233,0
234,1
235,2
236,0
237,1
238,0
239,2
240,2
241,2
242,1
243,0
244,0
245,0
246,1
247,1
248,0
249,2
250,2
251,1
252,1
253,1
254,0
255,0
256,0
257,1
258,2
259,2
260,2
261,1
262,1
263,2
264,2
265,0
266,0
267,1
268,0
269,2
270,2
271,0
272,1
273,1
274,1
275,1
276,2
277,2
278,0
279,2
280,2
281,1
282,2
283,1
284,1
285,0
286,2
287,2
288,0
289,2
290,2
291,0
292,1
293,2
294,1
295,1
296,1
297,1
298,0
299,1
300,1
301,0
302,2
303,2
304,2
305,2
306,2
307,2
308,1
309,1
310,2
311,1
312,1
313,2
314,2
315,1
316,1
317,1
318,1
319,1
320,0
321,2
322,1
323,0
324,0
325,2
326,2
327,2
328,1
329,1
330,0
331,2
332,2
333,2
334,1
335,0
336,1
337,1
338,2
339,0
340,2
341,1
342,2
343,2
344,2
345,0
346,2
347,1
348,2
349,1
350,2
351,0
352,2
353,1
354,2
355,0
356,0
357,1
358,1
359,1
360,1
361,2
362,2
363,2
364,1
365,0
366,0
367,1
368,1
369,0
370,1
371,1
372,0
373,1
374,1
375,0
376,1
377,1
378,1
379,1
380,2
381,1
382,1
383,0
384,2
385,0
386,2
387,1
388,1
389,2
390,1
391,1
392,1
393,1
394,2
395,0
396,1
397,2
398,0
399,0
400,1
401,2
402,1
403,0
404,0
405,2
406,0
407,1
408,2
409,1
410,2
411,2
412,2
413,0
414,1
415,2
416,2
417,0
418,2
419,1
420,2
421,1
422,1
423,2
424,1
425,2
426,1
427,1
428,2
429,2
430,2
431,2
432,0
433,2
434,2
435,2
436,1
437,1
438,0
439,0
440,1
441,1
442,1
443,0
444,2
445,2
446,2
447,0
448,1
449,1
450,1
451,1
452,2
453,2
454,2
455,0
456,2
457,1
458,1
459,0
460,2
461,0
462,2
463,2
464,2
465,0
466,1
467,1
468,2
469,2
470,0
471,1
472,2
473,1
474,1
475,1
476,2
477,1
478,2
479,0
480,1
481,2
482,0
483,1
484,2
485,1
486,0
487,2
488,1
489,1
490,0
491,1
492,1
493,2
494,0
495,1
496,2
497,1
498,2
499,1
500,1
501,1
502,1
503,1
504,0
505,1
506,0
507,1
508,0
509,0
510,1
511,2
512,1
513,1
514,1
515,0
