,index,date,home_team,away_team,home_score,away_score,resultado
0,33942,2010-08-10,Bosnia and Herzegovina,Qatar,1.0,1.0,0
1,33943,2010-08-10,Italy,Ivory Coast,0.0,1.0,2
2,33944,2010-08-10,United States,Brazil,0.0,2.0,2
3,33946,2010-08-11,Algeria,Gabon,1.0,2.0,2
4,33947,2010-08-11,Angola,Uruguay,0.0,2.0,2
5,33948,2010-08-11,Armenia,Iran,1.0,3.0,2
6,33949,2010-08-11,Austria,Switzerland,0.0,1.0,2
7,33952,2010-08-11,Bolivia,Colombia,1.0,1.0,0
8,33958,2010-08-11,Denmark,Germany,2.0,2.0,0
9,33960,2010-08-11,England,Hungary,2.0,1.0,1
10,33962,2010-08-11,Finland,Belgium,1.0,0.0,1
11,33964,2010-08-11,Republic of Ireland,Argentina,0.0,1.0,2
12,33966,2010-08-11,South Korea,Nigeria,2.0,1.0,1
13,33972,2010-08-11,Mexico,Spain,1.0,1.0,0
14,33977,2010-08-11,Norway,France,2.0,1.0,1
15,33979,2010-08-11,Paraguay,Costa Rica,2.0,0.0,1
16,33980,2010-08-11,Poland,Cameroon,0.0,3.0,2
17,33981,2010-08-11,Russia,Bulgaria,1.0,0.0,1
18,33984,2010-08-11,Serbia,Greece,0.0,1.0,2
19,33985,2010-08-11,Slovakia,Croatia,1.0,1.0,0
20,33986,2010-08-11,Slovenia,Australia,2.0,0.0,1
21,33987,2010-08-11,South Africa,Ghana,1.0,0.0,1
22,33994,2010-08-11,Ukraine,Netherlands,1.0,1.0,0
23,34004,2010-09-03,Algeria,Tanzania,1.0,1.0,0
24,34005,2010-09-03,Andorra,Russia,0.0,2.0,2
25,34007,2010-09-03,Belgium,Germany,0.0,1.0,2
26,34008,2010-09-03,China,Iran,0.0,2.0,2
27,34009,2010-09-03,England,Bulgaria,4.0,0.0,1
28,34010,2010-09-03,Estonia,Italy,1.0,2.0,2
29,34012,2010-09-03,France,Belarus,0.0,1.0,2
30,34013,2010-09-03,Greece,Georgia,1.0,1.0,0
31,34017,2010-09-03,Latvia,Croatia,0.0,3.0,2
32,34018,2010-09-03,Liechtenstein,Spain,0.0,4.0,2
33,34020,2010-09-03,Luxembourg,Bosnia and Herzegovina,0.0,3.0,2
34,34024,2010-09-03,Panama,Costa Rica,2.0,2.0,0
35,34025,2010-09-03,Portugal,Cyprus,4.0,4.0,0
36,34028,2010-09-03,San Marino,Netherlands,0.0,5.0,2
37,34032,2010-09-03,Switzerland,Australia,0.0,0.0,0
38,34033,2010-09-03,Venezuela,Colombia,0.0,2.0,2
39,34037,2010-09-04,El Salvador,Honduras,2.0,2.0,0
40,34041,2010-09-04,Ivory Coast,Rwanda,3.0,0.0,1
41,34042,2010-09-04,Japan,Paraguay,1.0,0.0,1
42,34043,2010-09-04,Mauritius,Cameroon,1.0,3.0,2
43,34044,2010-09-04,Mexico,Ecuador,1.0,2.0,2
44,34056,2010-09-05,Jamaica,Costa Rica,1.0,0.0,1
