,index,date,home_team,away_team,home_score,away_score
0,41729,2018-09-05,Slovakia,Denmark,3.0,0.0
1,41731,2018-09-06,Germany,France,0.0,0.0
2,41733,2018-09-06,Wales,Republic of Ireland,4.0,1.0
3,41744,2018-09-06,Netherlands,Peru,2.0,1.0
4,41745,2018-09-06,Portugal,Croatia,1.0,1.0
5,41754,2018-09-07,Italy,Poland,1.0,1.0
6,41757,2018-09-07,Lithuania,Serbia,0.0,1.0
7,41761,2018-09-07,Argentina,Guatemala,3.0,0.0
8,41763,2018-09-07,Ecuador,Jamaica,2.0,0.0
9,41764,2018-09-07,South Korea,Costa Rica,2.0,0.0
10,41765,2018-09-07,Mexico,Uruguay,1.0,4.0
11,41766,2018-09-07,Qatar,China,1.0,0.0
12,41767,2018-09-07,Scotland,Belgium,0.0,4.0
13,41769,2018-09-07,United States,Brazil,0.0,2.0
14,41775,2018-09-08,Switzerland,Iceland,6.0,0.0
15,41776,2018-09-08,England,Spain,1.0,2.0
16,41784,2018-09-08,Comoros,Cameroon,1.0,1.0
17,41797,2018-09-08,Morocco,Malawi,3.0,0.0
18,41799,2018-09-08,Kenya,Ghana,1.0,0.0
19,41801,2018-09-09,France,Netherlands,2.0,1.0
20,41803,2018-09-09,Denmark,Wales,2.0,0.0
21,41809,2018-09-09,Germany,Peru,2.0,1.0
22,41815,2018-09-09,United States Virgin Islands,Canada,0.0,8.0
23,41819,2018-09-09,Madagascar,Senegal,2.0,2.0
24,41824,2018-09-09,Eswatini,Tunisia,0.0,2.0
25,41827,2018-09-10,Portugal,Italy,1.0,0.0
26,41831,2018-09-10,Serbia,Romania,2.0,2.0
27,41840,2018-09-10,Saudi Arabia,Bolivia,2.0,2.0
28,41843,2018-09-11,Iceland,Belgium,0.0,3.0
29,41844,2018-09-11,Spain,Croatia,6.0,0.0
30,41850,2018-09-11,Colombia,Argentina,0.0,0.0
31,41851,2018-09-11,Ecuador,Guatemala,2.0,0.0
32,41852,2018-09-11,England,Switzerland,1.0,0.0
33,41855,2018-09-11,Japan,Costa Rica,3.0,0.0
34,41858,2018-09-11,South Korea,Chile,0.0,0.0
35,41863,2018-09-11,Poland,Republic of Ireland,1.0,1.0
36,41864,2018-09-11,Qatar,Palestine,3.0,0.0
37,41866,2018-09-11,United States,Mexico,1.0,0.0
38,41867,2018-09-11,Uzbekistan,Iran,0.0,1.0
39,41869,2018-09-12,Brazil,El Salvador,5.0,0.0
40,41880,2018-10-11,Poland,Portugal,2.0,3.0
41,41883,2018-10-11,Montenegro,Serbia,0.0,2.0
42,41887,2018-10-11,Argentina,Iraq,4.0,0.0
43,41889,2018-10-11,France,Iceland,2.0,2.0
44,41893,2018-10-11,Mexico,Costa Rica,3.0,2.0
45,41895,2018-10-11,United States,Colombia,2.0,4.0
46,41896,2018-10-11,Wales,Spain,1.0,4.0
47,41899,2018-10-12,Belgium,Switzerland,2.0,1.0
48,41900,2018-10-12,Croatia,England,0.0,0.0
49,41907,2018-10-12,Japan,Panama,3.0,0.0
50,41908,2018-10-12,South Korea,Uruguay,2.0,1.0
51,41910,2018-10-12,Qatar,Ecuador,4.0,3.0
52,41911,2018-10-12,Saudi Arabia,Brazil,0.0,2.0
53,41914,2018-10-12,Cameroon,Malawi,1.0,0.0
54,41930,2018-10-13,Netherlands,Germany,3.0,0.0
55,41932,2018-10-13,Republic of Ireland,Denmark,0.0,0.0
56,41949,2018-10-13,Senegal,Sudan,3.0,0.0
57,41950,2018-10-13,Morocco,Comoros,1.0,0.0
58,41954,2018-10-13,Tunisia,Niger,1.0,0.0
59,41957,2018-10-14,Poland,Italy,0.0,1.0
60,41960,2018-10-14,Romania,Serbia,0.0,0.0
61,41964,2018-10-14,Scotland,Portugal,1.0,3.0
62,41972,2018-10-15,Iceland,Switzerland,1.0,2.0
63,41973,2018-10-15,Spain,England,2.0,3.0
64,41979,2018-10-15,Croatia,Jordan,2.0,1.0
65,41980,2018-10-15,Kuwait,Australia,0.0,4.0
66,41981,2018-10-15,Saudi Arabia,Iraq,1.0,1.0
67,41982,2018-10-16,France,Germany,2.0,1.0
68,41984,2018-10-16,Republic of Ireland,Wales,0.0,1.0
69,41992,2018-10-16,Belgium,Netherlands,1.0,1.0
70,41995,2018-10-16,Colombia,Costa Rica,3.0,1.0
71,41996,2018-10-16,Denmark,Austria,2.0,0.0
72,41998,2018-10-16,Iran,Bolivia,2.0,1.0
73,41999,2018-10-16,Japan,Uruguay,4.0,3.0
