,date,home_team,away_team,home_score,away_score
0,2022-12-30,Iraq,Kuwait,1.0,0.0
1,2023-01-06,Iraq,Oman,0.0,0.0
2,2023-01-06,Yemen,Saudi Arabia,0.0,2.0
3,2023-01-07,Kuwait,Qatar,0.0,2.0
4,2023-01-09,Sweden,Finland,2.0,0.0
5,2023-01-09,Iraq,Saudi Arabia,2.0,0.0
6,2023-01-10,Qatar,Bahrain,1.0,2.0
7,2023-01-12,Sweden,Iceland,2.0,1.0
8,2023-01-12,Iraq,Yemen,5.0,0.0
9,2023-01-12,Saudi Arabia,Oman,1.0,2.0
10,2023-01-13,Qatar,United Arab Emirates,1.0,1.0
11,2023-01-16,Iraq,Qatar,2.0,1.0
12,2023-01-19,Iraq,Oman,3.0,2.0
13,2023-01-25,United States,Serbia,1.0,2.0
14,2023-01-28,United States,Colombia,0.0,0.0
15,2023-03-12,Guatemala,Panama,1.0,1.0
16,2023-03-23,Argentina,Panama,2.0,0.0
17,2023-03-23,Iran,Russia,1.0,1.0
18,2023-03-23,New Zealand,China,0.0,0.0
19,2023-03-23,Ghana,Angola,1.0,0.0
20,2023-03-23,Algeria,Niger,2.0,1.0
21,2023-03-23,Italy,England,1.0,2.0
22,2023-03-23,Portugal,Liechtenstein,4.0,0.0
23,2023-03-23,Bosnia and Herzegovina,Iceland,3.0,0.0
24,2023-03-23,Suriname,Mexico,0.0,2.0
25,2023-03-24,Australia,Ecuador,3.0,1.0
26,2023-03-24,Japan,Uruguay,1.0,1.0
27,2023-03-24,South Korea,Colombia,2.0,2.0
28,2023-03-24,Saudi Arabia,Venezuela,1.0,2.0
29,2023-03-24,Uzbekistan,Bolivia,1.0,0.0
30,2023-03-24,Cape Verde,Eswatini,0.0,0.0
31,2023-03-24,Egypt,Malawi,2.0,0.0
32,2023-03-24,Ivory Coast,Comoros,3.0,1.0
33,2023-03-24,DR Congo,Mauritania,3.0,1.0
34,2023-03-24,Tunisia,Libya,3.0,0.0
35,2023-03-24,South Africa,Liberia,2.0,2.0
36,2023-03-24,Senegal,Mozambique,5.0,1.0
37,2023-03-24,France,Netherlands,4.0,0.0
38,2023-03-24,Czech Republic,Poland,3.0,1.0
39,2023-03-24,Austria,Azerbaijan,4.0,1.0
40,2023-03-24,Sweden,Belgium,0.0,3.0
41,2023-03-24,Grenada,United States,1.0,7.0
42,2023-03-25,Germany,Peru,2.0,0.0
43,2023-03-25,Morocco,Brazil,2.0,1.0
44,2023-03-25,Scotland,Cyprus,3.0,0.0
45,2023-03-25,Spain,Norway,3.0,0.0
46,2023-03-25,Croatia,Wales,1.0,1.0
47,2023-03-25,Armenia,Turkey,1.0,2.0
48,2023-03-25,Belarus,Switzerland,0.0,5.0
49,2023-03-25,Curaçao,Canada,0.0,2.0
50,2023-03-25,Montserrat,Haiti,0.0,4.0
51,2023-03-26,New Zealand,China,2.0,1.0
52,2023-03-26,Russia,Iraq,2.0,0.0
53,2023-03-26,England,Ukraine,2.0,0.0
54,2023-03-26,Luxembourg,Portugal,0.0,6.0
55,2023-03-26,Slovakia,Bosnia and Herzegovina,2.0,0.0
56,2023-03-26,Mexico,Jamaica,2.0,2.0
57,2023-03-27,Chile,Paraguay,3.0,2.0
58,2023-03-27,Angola,Ghana,1.0,1.0
59,2023-03-27,Niger,Algeria,0.0,1.0
60,2023-03-27,Republic of Ireland,France,0.0,1.0
61,2023-03-27,Netherlands,Gibraltar,3.0,0.0
62,2023-03-27,Moldova,Czech Republic,0.0,0.0
63,2023-03-27,Austria,Estonia,2.0,1.0
64,2023-03-27,Sweden,Azerbaijan,5.0,0.0
65,2023-03-27,United States,El Salvador,1.0,0.0
66,2023-03-28,Argentina,Curaçao,7.0,0.0
67,2023-03-28,Australia,Ecuador,1.0,2.0
68,2023-03-28,Germany,Belgium,2.0,3.0
69,2023-03-28,Iran,Kenya,2.0,1.0
70,2023-03-28,Japan,Colombia,1.0,2.0
71,2023-03-28,Jordan,Philippines,4.0,0.0
72,2023-03-28,South Korea,Uruguay,1.0,2.0
73,2023-03-28,Morocco,Peru,0.0,0.0
74,2023-03-28,Saudi Arabia,Bolivia,1.0,2.0
75,2023-03-28,Uzbekistan,Venezuela,1.0,1.0
76,2023-03-28,Eswatini,Cape Verde,0.0,1.0
77,2023-03-28,Malawi,Egypt,0.0,4.0
78,2023-03-28,Comoros,Ivory Coast,0.0,2.0
79,2023-03-28,Mauritania,DR Congo,1.0,1.0
80,2023-03-28,Libya,Tunisia,0.0,1.0
81,2023-03-28,Liberia,South Africa,1.0,2.0
82,2023-03-28,Mozambique,Senegal,0.0,1.0
83,2023-03-28,Scotland,Spain,2.0,0.0
84,2023-03-28,Georgia,Norway,1.0,1.0
85,2023-03-28,Turkey,Croatia,0.0,2.0
86,2023-03-28,Switzerland,Israel,3.0,0.0
87,2023-03-28,Costa Rica,Panama,0.0,1.0
88,2023-03-28,Canada,Honduras,4.0,1.0
89,2023-03-28,Haiti,Bermuda,3.0,1.0
90,2023-04-19,United States,Mexico,1.0,1.0
91,2023-06-07,Mexico,Guatemala,2.0,0.0
92,2023-06-10,Mexico,Cameroon,2.0,2.0
93,2023-06-10,Panama,Nicaragua,3.0,2.0
94,2023-06-11,Uzbekistan,Oman,3.0,0.0
95,2023-06-12,Germany,Ukraine,3.0,3.0
96,2023-06-12,Morocco,Cape Verde,0.0,0.0
97,2023-06-13,Iran,Afghanistan,6.0,1.0
98,2023-06-14,DR Congo,Uganda,1.0,0.0
99,2023-06-14,Uruguay,Nicaragua,4.0,1.0
100,2023-06-14,Netherlands,Croatia,2.0,4.0
101,2023-06-14,Uzbekistan,Turkmenistan,2.0,0.0
102,2023-06-14,Guinea,Egypt,1.0,2.0
103,2023-06-15,Panama,Canada,0.0,2.0
104,2023-06-15,United States,Mexico,3.0,0.0
105,2023-06-15,Argentina,Australia,2.0,0.0
106,2023-06-15,Jamaica,Qatar,1.0,2.0
107,2023-06-15,Japan,El Salvador,6.0,0.0
108,2023-06-15,Spain,Italy,2.0,1.0
109,2023-06-16,Colombia,Iraq,1.0,0.0
110,2023-06-16,South Korea,Peru,0.0,1.0
111,2023-06-16,Poland,Germany,1.0,0.0
112,2023-06-16,Serbia,Jordan,3.0,2.0
113,2023-06-16,Sweden,New Zealand,4.0,1.0
114,2023-06-16,Gibraltar,France,0.0,3.0
115,2023-06-16,Malta,England,0.0,4.0
116,2023-06-16,Latvia,Turkey,2.0,3.0
117,2023-06-16,Andorra,Switzerland,1.0,2.0
118,2023-06-16,Kyrgyzstan,Iran,1.0,5.0
119,2023-06-17,Brazil,Guinea,4.0,1.0
120,2023-06-17,Ecuador,Bolivia,1.0,0.0
121,2023-06-17,Norway,Scotland,1.0,2.0
122,2023-06-17,Faroe Islands,Czech Republic,0.0,3.0
123,2023-06-17,Belgium,Austria,1.0,1.0
124,2023-06-17,Portugal,Bosnia and Herzegovina,3.0,0.0
125,2023-06-17,Uzbekistan,Tajikistan,5.0,1.0
126,2023-06-17,Zambia,Ivory Coast,3.0,0.0
127,2023-06-17,Equatorial Guinea,Tunisia,1.0,0.0
128,2023-06-17,South Africa,Morocco,2.0,1.0
129,2023-06-17,Benin,Senegal,1.0,1.0
130,2023-06-18,Panama,Mexico,0.0,1.0
131,2023-06-18,United States,Canada,2.0,0.0
132,2023-06-18,Egypt,South Sudan,3.0,0.0
133,2023-06-18,Paraguay,Nicaragua,2.0,0.0
134,2023-06-18,Netherlands,Italy,2.0,3.0
135,2023-06-18,Croatia,Spain,0.0,0.0
136,2023-06-18,Cape Verde,Burkina Faso,3.0,1.0
137,2023-06-18,Madagascar,Ghana,0.0,0.0
138,2023-06-18,Uganda,Algeria,1.0,2.0
139,2023-06-18,Gabon,DR Congo,0.0,2.0
140,2023-06-19,Indonesia,Argentina,0.0,2.0
141,2023-06-19,Jamaica,Jordan,1.0,2.0
142,2023-06-19,France,Greece,1.0,0.0
