,wins_difference,draws_difference,loses_difference,points_per_game_difference,result
0,-2,3,10,-0.8599999999999999,1
1,0,-2,4,-0.27,1
2,-6,2,8,-0.9199999999999999,1
3,0,-2,4,-0.27,1
4,-5,3,3,-0.52,1
5,-8,2,11,-1.18,1
6,0,0,0,0.0,0
7,-2,5,6,-0.5899999999999999,1
8,-5,-2,2,-0.25,1
9,-6,2,8,-0.9199999999999999,1
10,-1,0,-5,0.22999999999999998,1
11,0,0,0,0.0,0
12,-5,0,2,-0.3700000000000001,1
13,-5,-2,2,-0.25,1
14,-2,3,10,-0.8599999999999999,1
15,-5,3,3,-0.52,1
16,-3,-5,-8,0.6099999999999999,1
17,-5,3,3,-0.52,1
18,-3,-2,-3,0.06999999999999984,1
19,1,-4,-6,0.6699999999999999,1
20,-2,3,10,-0.8599999999999999,1
21,-3,-2,-3,0.06999999999999984,1
22,-5,1,2,-0.3999999999999999,1
23,-3,-2,-3,0.06999999999999984,1
24,-3,5,1,-0.3599999999999999,1
25,-1,0,-5,0.22999999999999998,1
