team,wins,draws,loses,points,games_played,goals_for,goals_against,goal_difference,goal_diff_per_game,points_per_game
Germany,30,7,7,97,44,123,57,66,1.5,2.2
Hungary,16,7,8,55,31,96,70,26,0.84,1.77
Czechoslovakia,12,8,9,44,29,61,55,6,0.21,1.52
Italy,12,5,2,41,19,45,22,23,1.21,2.16
Sweden,12,2,10,38,24,62,51,11,0.46,1.58
Netherlands,11,4,5,37,20,59,30,29,1.45,1.85
Switzerland,9,6,20,33,35,53,80,-27,-0.77,0.94
Poland,8,6,10,30,24,57,59,-2,-0.08,1.25
France,9,2,11,29,22,36,43,-7,-0.32,1.32
Romania,7,5,8,26,20,40,47,-7,-0.35,1.3
Norway,7,4,11,25,22,38,52,-14,-0.64,1.14
Belgium,6,6,13,24,25,37,63,-26,-1.04,0.96
Brazil,4,0,2,12,6,17,11,6,1.0,2.0
Cuba,2,0,3,6,5,8,13,-5,-1.0,1.2
Dutch East Indies,0,0,0,0,0,0,0,0,,
