team,wins,draws,loses,points,games_played,points_per_game
Brazil,672,219,171,2235,1062,2.1
Argentina,592,260,220,2036,1072,1.9
Sweden,542,235,327,1861,1104,1.69
Mexico,515,233,258,1778,1006,1.77
Italy,477,243,173,1674,893,1.87
Hungary,472,222,312,1638,1006,1.63
France,477,198,263,1629,938,1.74
Spain,461,185,140,1568,786,1.99
Netherlands,453,201,228,1560,882,1.77
Scotland,403,184,267,1393,854,1.63
Poland,384,225,283,1377,892,1.54
Austria,367,187,309,1288,863,1.49
Iran,349,147,119,1194,615,1.94
Tunisia,296,191,194,1079,681,1.58
Peru,231,176,307,869,714,1.22
West Germany,0,0,0,0,0,
