,rank,country_full,country_abrv,total_points,previous_points,rank_change,confederation,rank_date
17758,1.0,France,FRA,809.0,812.0,0,UEFA,2002-02-13
17757,2.0,Argentina,ARG,799.0,801.0,0,CONMEBOL,2002-02-13
17756,3.0,Brazil,BRA,791.0,793.0,0,CONMEBOL,2002-02-13
17755,4.0,Portugal,POR,738.0,741.0,0,UEFA,2002-02-13
17754,5.0,Colombia,COL,737.0,739.0,0,CONMEBOL,2002-02-13
17753,6.0,Italy,ITA,731.0,734.0,0,UEFA,2002-02-13
17752,7.0,Spain,ESP,727.0,730.0,0,UEFA,2002-02-13
17751,8.0,Netherlands,NED,720.0,722.0,0,UEFA,2002-02-13
17750,9.0,Mexico,MEX,720.0,714.0,0,CONCACAF,2002-02-13
17749,10.0,England,ENG,709.0,712.0,0,UEFA,2002-02-13
17748,11.0,Yugoslavia,YUG,707.0,710.0,0,UEFA,2002-02-13
17747,12.0,Germany,GER,704.0,707.0,0,UEFA,2002-02-13
17746,13.0,USA,USA,696.0,662.0,-11,CONCACAF,2002-02-13
17745,14.0,Paraguay,PAR,689.0,691.0,1,CONMEBOL,2002-02-13
17744,15.0,Czechia,CZE,686.0,689.0,1,UEFA,2002-02-13
17743,16.0,Romania,ROU,684.0,686.0,1,UEFA,2002-02-13
17742,17.0,Sweden,SWE,679.0,676.0,1,UEFA,2002-02-13
17741,18.0,Cameroon,CMR,673.0,614.0,-19,CAF,2002-02-13
17740,19.0,Republic of Ireland,IRL,670.0,672.0,1,UEFA,2002-02-13
17759,20.0,Denmark,DEN,670.0,672.0,3,UEFA,2002-02-13
17761,21.0,Croatia,CRO,667.0,668.0,2,UEFA,2002-02-13
17782,22.0,Belgium,BEL,664.0,666.0,2,UEFA,2002-02-13
17762,23.0,Russia,RUS,662.0,665.0,2,UEFA,2002-02-13
17781,24.0,Uruguay,URU,662.0,664.0,2,CONMEBOL,2002-02-13
17780,25.0,Turkey,TUR,661.0,663.0,2,UEFA,2002-02-13
17779,26.0,Costa Rica,CRC,649.0,635.0,-4,CONCACAF,2002-02-13
17778,27.0,Honduras,HON,648.0,650.0,2,CONCACAF,2002-02-13
17777,28.0,Slovenia,SVN,648.0,650.0,1,UEFA,2002-02-13
17776,29.0,Tunisia,TUN,647.0,649.0,1,CAF,2002-02-13
17775,30.0,Norway,NOR,647.0,650.0,4,UEFA,2002-02-13
