,rank,country_full,country_abrv,total_points,previous_points,rank_change,confederation,rank_date
27926,1.0,Brazil,BRA,827.0,830.0,0,CONMEBOL,2006-05-17
27924,2.0,Czechia,CZE,772.0,779.0,0,UEFA,2006-05-17
27923,3.0,Netherlands,NED,768.0,774.0,0,UEFA,2006-05-17
27922,4.0,Mexico,MEX,758.0,758.0,-2,CONCACAF,2006-05-17
27921,5.0,USA,USA,756.0,760.0,1,CONCACAF,2006-05-17
27920,5.0,Spain,ESP,756.0,759.0,0,UEFA,2006-05-17
27919,7.0,Portugal,POR,750.0,753.0,-1,UEFA,2006-05-17
27918,8.0,France,FRA,749.0,754.0,1,UEFA,2006-05-17
27917,9.0,Argentina,ARG,746.0,753.0,1,CONMEBOL,2006-05-17
27916,10.0,England,ENG,741.0,744.0,0,UEFA,2006-05-17
27914,11.0,Denmark,DEN,736.0,738.0,0,UEFA,2006-05-17
27915,11.0,Nigeria,NGA,736.0,737.0,-1,CAF,2006-05-17
27800,13.0,Italy,ITA,728.0,731.0,-1,UEFA,2006-05-17
27777,14.0,Turkey,TUR,726.0,733.0,1,UEFA,2006-05-17
27938,15.0,Cameroon,CMR,722.0,723.0,0,CAF,2006-05-17
27927,16.0,Sweden,SWE,709.0,717.0,0,UEFA,2006-05-17
27928,17.0,Egypt,EGY,708.0,708.0,-1,CAF,2006-05-17
27929,18.0,Japan,JPN,705.0,709.0,1,AFC,2006-05-17
27930,19.0,Germany,GER,696.0,699.0,0,UEFA,2006-05-17
27931,20.0,Greece,GRE,694.0,699.0,1,UEFA,2006-05-17
27932,21.0,Tunisia,TUN,693.0,694.0,0,CAF,2006-05-17
27933,22.0,Uruguay,URU,689.0,692.0,0,CONMEBOL,2006-05-17
27935,23.0,Croatia,CRO,686.0,690.0,-1,UEFA,2006-05-17
27934,23.0,IR Iran,IRN,686.0,692.0,1,AFC,2006-05-17
27936,25.0,Romania,ROU,685.0,687.0,0,UEFA,2006-05-17
27937,26.0,Costa Rica,CRC,683.0,686.0,0,CONCACAF,2006-05-17
27913,27.0,Colombia,COL,681.0,684.0,0,CONMEBOL,2006-05-17
27912,28.0,Senegal,SEN,679.0,681.0,-1,CAF,2006-05-17
27911,29.0,Poland,POL,677.0,682.0,1,UEFA,2006-05-17
27910,29.0,Korea Republic,KOR,677.0,678.0,-1,AFC,2006-05-17
27887,31.0,Republic of Ireland,IRL,671.0,678.0,1,UEFA,2006-05-17
27888,32.0,Côte d'Ivoire,CIV,669.0,668.0,0,CAF,2006-05-17
27889,33.0,Paraguay,PAR,653.0,657.0,0,CONMEBOL,2006-05-17
27890,34.0,Saudi Arabia,KSA,651.0,655.0,0,AFC,2006-05-17
27891,35.0,Switzerland,SUI,648.0,651.0,0,UEFA,2006-05-17
27892,36.0,Morocco,MAR,646.0,649.0,0,CAF,2006-05-17
27894,37.0,Bulgaria,BUL,645.0,642.0,-1,UEFA,2006-05-17
27893,37.0,Russia,RUS,645.0,648.0,0,UEFA,2006-05-17
27895,39.0,Ecuador,ECU,631.0,636.0,0,CONMEBOL,2006-05-17
27940,40.0,Norway,NOR,627.0,634.0,0,UEFA,2006-05-17
27897,41.0,Slovakia,SVK,613.0,615.0,-2,UEFA,2006-05-17
27898,42.0,Honduras,HON,612.0,616.0,1,CONCACAF,2006-05-17
27899,42.0,Australia,AUS,612.0,614.0,-2,AFC,2006-05-17
27900,44.0,Serbia and Montenegro,SCG,610.0,612.0,-2,UEFA,2006-05-17
27901,45.0,Ukraine,UKR,609.0,616.0,4,UEFA,2006-05-17
27902,46.0,Jamaica,JAM,607.0,614.0,2,CONCACAF,2006-05-17
27903,47.0,Trinidad and Tobago,TRI,604.0,607.0,0,CONCACAF,2006-05-17
27904,48.0,Ghana,GHA,600.0,602.0,-2,CAF,2006-05-17
27905,49.0,Finland,FIN,599.0,604.0,0,UEFA,2006-05-17
